Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
06-12-2024 09:00,AKSUE,11.69,12.82,11.68,12.82,2786516.0,0.0,1.13,0.04,2954.05,1.13,834646.9,233.86,True,67.54,2024-12-06,9.95,0,,11.04,ATH,False,False
05-12-2024 09:00,SEGMN,18.99,20.84,18.96,20.84,8861909.0,0.0,1.85,0.25,631.23,1.85,2510407.9,253.01,True,72.89,2024-12-05,9.92,0,,17.15,ATH,False,False
05-12-2024 09:00,BINBN,114.9,126.3,103.5,126.3,3904663.0,0.0,11.4,2.62,335.95,11.4,1147123.3,240.39,True,78.41,2024-12-05,9.92,0,,92.2,ATH,False,False
05-12-2024 09:00,SKYLP,87.7,96.55,87.7,96.55,1100782.0,0.0,8.85,0.73,1104.08,8.85,283018.4,288.94,True,65.68,2024-12-05,9.97,0,,81.6,98.35,False,False
05-12-2024 09:00,DOBUR,191.0,209.5,189.1,209.5,1095907.0,0.0,18.5,3.83,383.03,18.5,607750.8,80.32,True,74.22,2024-12-05,9.97,0,,155.9,277.0,False,False
05-12-2024 09:00,CEMZY,10.88,11.65,10.85,11.47,43166845.0,0.18,0.59,0.15,283.12,0.59,21705470.1,98.88,True,71.17,2024-12-05,6.2,1,11.65,9.43,11.65,False,False
05-12-2024 09:00,YESIL,2.22,2.4,2.21,2.4,352684810.0,0.0,0.18,0.02,900.0,0.18,146852227.0,140.16,True,81.8,2024-12-05,9.59,0,,1.25,2.54,False,False
05-12-2024 09:00,SELGD,44.22,48.9,44.18,48.9,2802673.0,0.0,4.68,0.4,1058.42,4.68,541987.9,417.11,True,58.28,2024-12-05,9.99,0,,43.5,52.0,True,True
05-12-2024 09:00,ISFIN,11.55,12.13,11.55,12.04,10750521.0,0.09,0.49,0.12,292.0,0.49,6631254.2,62.12,True,68.21,2024-12-05,4.06,0,,10.69,12.05,False,False
05-12-2024 09:00,KNFRT,10.9,11.55,10.87,11.55,2613114.0,0.0,0.65,0.1,519.05,0.65,1334930.1,95.75,True,70.03,2024-12-05,5.96,0,,8.13,12.43,False,False
04-12-2024 09:00,ENSRI,18.35,20.12,17.51,20.12,4037153.0,0.0,1.77,0.05,3747.83,1.77,1598093.2,152.62,True,56.6,2024-12-04,9.95,2,17.51,17.51,23.58,True,True
04-12-2024 09:00,KAREL,9.24,9.48,9.17,9.48,9410825.0,0.0,0.24,0.05,361.54,0.24,5685066.5,65.54,True,57.7,2024-12-04,2.82,0,,8.57,9.54,False,False
04-12-2024 09:00,GLRYH,11.9,12.3,11.86,12.3,4389040.0,0.0,0.4,0.07,497.01,0.4,2808873.7,56.26,True,67.82,2024-12-04,3.71,0,,10.98,13.0,False,False
04-12-2024 09:00,DNISI,23.94,26.1,23.94,26.1,9596053.0,0.0,2.16,0.1,2104.08,2.16,5147938.4,86.41,True,66.75,2024-12-04,9.94,0,,20.6,26.76,False,False
04-12-2024 09:00,ALTNY,89.95,94.05,89.7,93.05,12010575.0,1.0,3.1,0.35,785.71,3.1,6435274.6,86.64,True,55.72,2024-12-04,3.45,0,,86.55,102.8,False,False
04-12-2024 09:00,FORTE,48.36,52.65,48.36,52.65,2512651.0,0.0,4.29,0.32,1240.63,4.29,985712.0,154.91,True,67.0,2024-12-04,9.92,0,,41.66,54.1,False,False
04-12-2024 09:00,VESTL,64.05,70.0,63.3,69.4,13953823.0,0.6,5.35,1.25,328.0,5.35,5141554.2,171.39,True,71.94,2024-12-04,8.78,0,,56.25,ATH,False,False
03-12-2024 09:00,AKSA,9.89,10.74,9.85,10.62,28596172.0,0.12,0.73,0.14,421.43,0.73,18315423.9,56.13,True,80.03,2024-12-03,7.38,0,,8.03,ATH,False,False
