Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
26-02-2024 09:00,CRFSA,134.7,164.8,133.9,163.0,9157845.0,1.8,28.3,3.92,621.94,28.3,3584115.4,155.51,0.06,True,81.31,2024-02-26,22.01,0,,ATL,ATH,False,False
19-02-2024 09:00,YEOTK,66.25,75.85,63.47,74.03,123888367.47,1.83,7.77,1.49,420.83,7.77,75832873.97,63.37,0.23,True,66.93,2024-02-19,13.97,0,,38.51,77.34,False,False
19-02-2024 09:00,SODSN,95.0,143.3,95.0,143.3,828155.0,0.0,48.3,6.93,597.47,48.3,207420.0,299.26,0.0,True,74.89,2024-02-19,60.74,0,,67.1,ATH,False,False
19-02-2024 09:00,FONET,15.04,24.92,14.31,24.92,178555088.0,0.0,9.88,1.72,475.76,9.88,71336370.8,150.3,0.0,True,91.85,2024-02-19,60.88,0,,ATL,ATH,False,False
19-02-2024 09:00,OBASE,49.0,63.05,48.7,59.6,12999426.0,3.45,10.6,1.74,508.15,10.6,5219165.8,149.07,0.33,True,77.74,2024-02-19,23.4,0,,ATL,ATH,False,False
19-02-2024 09:00,ALARK,118.2,140.6,117.6,136.6,73551371.0,4.0,18.4,3.96,364.06,18.4,28853048.7,154.92,0.22,True,71.48,2024-02-19,16.35,0,,84.8,ATH,False,False
19-02-2024 09:00,KCAER,15.21,19.38,15.21,18.47,332392353.52,0.91,3.26,0.76,331.03,3.26,194184220.91,71.17,0.28,True,81.39,2024-02-19,22.27,0,,8.43,ATH,False,False
19-02-2024 09:00,TOASO,259.25,275.5,255.75,275.5,31239209.0,0.0,16.25,3.58,354.55,16.25,19744934.3,58.21,0.0,True,59.15,2024-02-19,6.99,0,,203.6,ATH,False,False
19-02-2024 09:00,TMSN,120.5,139.2,116.5,139.2,17892563.0,0.0,18.7,3.69,406.09,18.7,9311986.6,92.15,0.0,True,77.94,2024-02-19,17.17,0,,75.3,ATH,False,False
12-02-2024 09:00,OYYAT,45.62,49.44,45.62,49.2,4216315.0,0.24,3.58,0.64,457.63,3.58,1743947.1,141.77,0.07,True,55.71,2024-02-12,8.47,0,,35.28,67.0,False,False
12-02-2024 09:00,GRNYO,7.93,9.49,7.83,9.49,9642399.0,0.0,1.56,0.2,664.71,1.56,2825449.0,241.27,0.0,True,65.1,2024-02-12,19.67,0,,6.15,ATH,False,False
12-02-2024 09:00,BARMA,21.24,23.64,19.95,23.2,28452817.0,0.44,1.96,0.32,504.94,1.96,12218366.5,132.87,0.22,True,63.78,2024-02-12,9.74,0,,15.21,ATH,False,False
12-02-2024 09:00,ALCAR,1305.0,1550.0,1302.0,1530.0,984828.0,20.0,225.0,0.2,112400.0,225.0,557578.5,76.63,0.09,True,69.12,2024-02-12,17.87,0,,957.0,ATH,False,False
12-02-2024 09:00,EPLAS,6.57,7.33,6.35,7.12,29911382.0,0.21,0.55,0.08,596.2,0.55,13455108.0,122.31,0.38,True,58.63,2024-02-12,10.22,0,,5.12,ATH,False,False
12-02-2024 09:00,LUKSK,84.1,98.75,78.35,98.75,2477293.0,0.0,14.65,1.48,893.22,14.65,1196469.0,107.05,0.0,True,76.52,2024-02-12,19.26,0,,48.64,ATH,False,False
12-02-2024 09:00,ZOREN,4.94,5.81,4.92,5.81,2640665537.0,0.0,0.87,0.09,911.63,0.87,818150603.0,222.76,0.0,True,66.03,2024-02-12,18.81,0,,3.94,7.57,False,False
12-02-2024 09:00,HEKTS,6.61,8.43,6.6,7.99,1940642548.43,0.43,1.38,0.03,5400.03,1.38,810728109.78,139.37,0.31,True,51.21,2024-02-12,21.86,0,,6.03,ATH,False,False
12-02-2024 09:00,DNISI,19.31,25.18,19.13,23.8,19280767.0,1.38,4.49,0.95,372.13,4.49,11000489.7,75.27,0.31,True,88.15,2024-02-12,25.93,1,25.18,ATL,25.18,False,False
12-02-2024 09:00,BFREN,243.47,297.16,243.47,295.52,9987609.0,1.64,52.05,0.11,48280.98,52.05,5317933.2,87.81,0.03,True,70.49,2024-02-12,22.05,0,,183.47,299.06,False,False
12-02-2024 09:00,YAPRK,281.0,340.25,277.0,335.75,4184409.0,4.5,54.75,8.3,559.24,54.75,2392462.3,74.9,0.08,True,77.91,2024-02-12,19.91,0,,114.0,ATH,False,False
12-02-2024 09:00,EDATA,7.4,8.91,7.25,8.91,101610966.61,0.0,1.51,0.22,592.31,1.51,46626754.21,117.92,0.0,True,73.39,2024-02-12,22.87,0,,4.88,ATH,False,False
05-02-2024 09:00,DOKTA,34.46,38.9,34.18,38.4,5241444.0,0.5,3.94,0.2,1831.37,3.94,3159861.5,65.88,0.13,True,57.45,2024-02-05,11.43,0,,26.5,48.39,False,False
05-02-2024 09:00,ESCOM,4.28,5.3,4.18,5.3,109544961.01,0.0,1.02,0.15,582.79,1.02,57695141.74,89.87,0.0,True,78.88,2024-02-05,23.88,0,,2.53,ATH,False,False
05-02-2024 09:00,BRISA,91.4,108.9,90.0,108.1,3987708.0,0.8,16.7,1.97,747.72,16.7,1589658.6,150.85,0.05,True,74.25,2024-02-05,18.34,0,,72.05,109.0,False,False
05-02-2024 09:00,REEDR,34.46,44.5,34.46,41.88,350768016.0,2.62,7.42,1.11,567.27,7.42,194214435.8,80.61,0.35,True,79.59,2024-02-05,33.63,0,,ATL,ATH,False,False
05-02-2024 09:00,ARCLK,146.8,163.0,143.9,160.7,27332698.0,2.3,13.9,2.12,555.66,13.9,18136416.6,50.71,0.17,True,64.02,2024-02-05,9.47,0,,121.9,176.7,False,False
05-02-2024 09:00,ISDMR,37.36,39.52,37.1,39.38,26486958.0,0.14,2.02,0.28,621.43,2.02,12303508.4,115.28,0.07,True,60.42,2024-02-05,5.41,0,,32.42,ATH,False,False
05-02-2024 09:00,DGNMO,10.5,11.93,10.45,11.87,18919825.0,0.06,1.37,0.13,962.01,1.37,12097365.9,56.4,0.04,True,58.12,2024-02-05,13.16,0,,8.61,14.31,False,False
05-02-2024 09:00,MNDRS,10.14,11.82,10.02,11.59,30514532.0,0.23,1.45,0.18,705.56,1.45,16405628.3,86.0,0.16,True,62.49,2024-02-05,13.96,0,,7.78,13.8,False,False
05-02-2024 09:00,CMBTN,2437.0,3490.0,2425.0,3272.5,896921.0,217.5,835.5,125.15,567.6,835.5,469748.7,90.94,0.26,True,75.65,2024-02-05,34.23,0,,ATL,ATH,False,False
29-01-2024 09:00,MZHLD,8.48,9.53,8.48,9.48,24674371.0,0.05,1.0,0.01,8990.91,1.0,14624137.4,68.72,0.05,True,56.52,2024-01-29,11.79,0,,7.2,9.95,False,False
29-01-2024 09:00,ADEL,36.0,48.23,36.0,46.82,36089848.09,1.41,10.82,0.33,3205.56,10.82,18513186.81,94.94,0.13,True,57.52,2024-01-29,30.71,0,,28.11,ATH,False,False
29-01-2024 09:00,KIMMR,6.98,8.27,6.98,8.17,38302325.0,0.1,1.19,0.07,1650.0,1.19,13131889.0,191.67,0.08,True,61.39,2024-01-29,17.39,0,,5.27,ATH,False,False
22-01-2024 09:00,BURCE,13.89,17.23,13.71,16.4,55174230.0,0.83,2.51,0.18,1318.08,2.51,30509141.0,80.84,0.33,True,62.81,2024-01-22,17.99,0,,10.94,ATH,False,False
22-01-2024 09:00,A1YEN,26.46,30.52,24.62,30.52,16769867.0,0.0,4.06,0.12,3340.68,4.06,9619337.7,74.33,0.0,True,59.43,2024-01-22,15.34,0,,20.0,35.1,False,False
22-01-2024 09:00,PNLSN,59.3,74.5,58.3,72.7,12236345.0,1.8,13.4,0.91,1364.48,13.4,5277752.1,131.85,0.13,True,65.79,2024-01-22,22.49,0,,49.04,ATH,False,False
22-01-2024 09:00,PNSUT,10.2,11.61,10.2,11.47,15886158.89,0.14,1.27,0.02,5641.92,1.27,9226252.13,72.18,0.11,True,57.1,2024-01-22,12.46,0,,8.86,ATH,False,False
